,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien,Database Operations,Memory Read Cached,Memory Read Uncached,Memory Write,Latency,Memory Threaded
42,Corsair CMD32GX4M4A2800C16 8GB,36,15.7,11.3,$439.95*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B2133C10+8GB&id=13386,"3,591 KOps/Sec","29,200 MBytes/Sec","15,382 MBytes/Sec","12,200 MBytes/Sec",27 ns (lower is better),"26,775 MBytes/Sec"
43,Corsair CMD32GX4M4B2400C10 8GB,31,16.1,11.5,$639.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B2800C14+8GB&id=11084,"3,884 KOps/Sec","32,992 MBytes/Sec","20,268 MBytes/Sec","15,011 MBytes/Sec",23 ns (lower is better),"34,327 MBytes/Sec"
44,Corsair CMD32GX4M4B3000C15 8GB,34,15.1,12.5,$249.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3200C16+8GB&id=8167,"5,775 KOps/Sec","31,619 MBytes/Sec","18,224 MBytes/Sec","14,433 MBytes/Sec",37 ns (lower is better),"47,778 MBytes/Sec"
45,Corsair CMD32GX4M4B3200C16 8GB,31,18.9,14.5,$379.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3333C16+8GB&id=8836,"6,288 KOps/Sec","31,602 MBytes/Sec","18,086 MBytes/Sec","14,875 MBytes/Sec",32 ns (lower is better),"43,392 MBytes/Sec"
46,Corsair CMD32GX4M4B3333C16 8GB,30,17.5,14.5,$799.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3466C16+8GB&id=12734,"10,050 KOps/Sec","33,246 MBytes/Sec","15,565 MBytes/Sec","17,318 MBytes/Sec",30 ns (lower is better),"102,871 MBytes/Sec"
47,Corsair CMD32GX4M4B3466C16 8GB,22,15.7,17.2,$644.50*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3600C16+8GB&id=11108,"8,666 KOps/Sec","32,997 MBytes/Sec","19,741 MBytes/Sec","17,824 MBytes/Sec",21 ns (lower is better),"52,855 MBytes/Sec"
48,Corsair CMD32GX4M4B3600C16 8GB,20,18.7,15.0,$897.66*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3733C17+8GB&id=10703,"3,749 KOps/Sec","31,025 MBytes/Sec","19,247 MBytes/Sec","13,810 MBytes/Sec",25 ns (lower is better),"27,172 MBytes/Sec"
49,Corsair CMD32GX4M4C3000C15 8GB,38,14.8,12.1,$699.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4C3200C14C+8GB&id=9873,NA,"24,888 MBytes/Sec","15,425 MBytes/Sec","11,323 MBytes/Sec",25 ns (lower is better),NA
50,Corsair CMD32GX4M4C3200C16 8GB,25,18.6,15.5,$289.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4C3200C16-R+8GB&id=10297,"5,670 KOps/Sec","31,398 MBytes/Sec","18,740 MBytes/Sec","13,854 MBytes/Sec",35 ns (lower is better),"42,403 MBytes/Sec"
51,Corsair CMD32GX4M4C3200C16-R 8GB,27,20.0,15.4,$369.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4C3466C16W+8GB&id=12139,NA,"33,661 MBytes/Sec","20,272 MBytes/Sec","16,265 MBytes/Sec",20 ns (lower is better),NA
52,Corsair CMD64GX4M4A2400C14 16GB,26,15.3,11.2,$489.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4A2666C15+16GB&id=9173,"6,080 KOps/Sec","29,312 MBytes/Sec","14,928 MBytes/Sec","12,877 MBytes/Sec",47 ns (lower is better),"54,405 MBytes/Sec"
53,Corsair CMD64GX4M4A2666C15 16GB,41,14.0,13.6,$369.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4B2800C14+16GB&id=8075,"5,281 KOps/Sec","27,327 MBytes/Sec","15,165 MBytes/Sec","10,384 MBytes/Sec",37 ns (lower is better),"47,413 MBytes/Sec"
54,Corsair CMD64GX4M4B2800C14 16GB,25,15.0,11.6,$479.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4B3000C15+16GB&id=8693,"6,601 KOps/Sec","30,940 MBytes/Sec","19,490 MBytes/Sec","14,458 MBytes/Sec",30 ns (lower is better),"35,771 MBytes/Sec"
55,Corsair CMD64GX4M4B3000C15 16GB,30,19.5,14.5,$459.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4B3333C16+16GB&id=8657,"5,328 KOps/Sec","29,530 MBytes/Sec","13,775 MBytes/Sec","11,960 MBytes/Sec",47 ns (lower is better),"59,576 MBytes/Sec"
56,Corsair CMD64GX4M4B3333C16 16GB,35,14.7,10.7,$958.08*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4B3466C16+16GB&id=8837,"6,402 KOps/Sec","29,705 MBytes/Sec","18,178 MBytes/Sec","15,311 MBytes/Sec",33 ns (lower is better),"44,610 MBytes/Sec"
57,Corsair CMD64GX4M4B3466C16 16GB,29,17.5,15.5,$849.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4C3000C15+16GB&id=9920,"6,176 KOps/Sec","30,364 MBytes/Sec","15,172 MBytes/Sec","13,151 MBytes/Sec",39 ns (lower is better),"51,874 MBytes/Sec"
58,Corsair CMD64GX4M4C3000C15 16GB,34,16.1,13.9,$417.80*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4C3200C16+16GB&id=8859,"5,682 KOps/Sec","30,694 MBytes/Sec","16,546 MBytes/Sec","13,131 MBytes/Sec",39 ns (lower is better),"47,142 MBytes/Sec"
59,Corsair CMD64GX4M4C3200C16 16GB,35,16.5,13.7,$429.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8A2400C14+8GB&id=7026,"1,789 KOps/Sec","25,777 MBytes/Sec","12,949 MBytes/Sec","10,613 MBytes/Sec",49 ns (lower is better),"52,793 MBytes/Sec"
60,Corsair CMD64GX4M8A2400C14 8GB,28,12.9,10.6,$894.83*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8A2666C15+8GB&id=7034,"4,140 KOps/Sec","27,945 MBytes/Sec","13,552 MBytes/Sec","11,476 MBytes/Sec",45 ns (lower is better),"57,951 MBytes/Sec"
61,Corsair CMD64GX4M8A2666C15 8GB,39,13.7,11.9,$728.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8A2800C16+8GB&id=6904,NA,"23,994 MBytes/Sec","12,806 MBytes/Sec","10,550 MBytes/Sec",29 ns (lower is better),NA
62,Corsair CMD64GX4M8B2800C14 8GB,26,14.4,11.0,$699.89*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8B3200C16+8GB&id=8869,"6,481 KOps/Sec","25,231 MBytes/Sec","13,577 MBytes/Sec","11,250 MBytes/Sec",55 ns (lower is better),"64,805 MBytes/Sec"
63,Corsair CMD64GX4M8B3200C16 8GB,26,14.8,11.0,$549.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8X3800C19+8GB&id=12897,NA,NA,NA,NA,NA,NA
64,Corsair CMD64GX4M8X4000C19 8GB,27,12.2,15.9,$899.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD8GX4M2B3000C15+4GB&id=8564,"4,570 KOps/Sec","29,769 MBytes/Sec","16,971 MBytes/Sec","12,283 MBytes/Sec",36 ns (lower is better),"39,829 MBytes/Sec"
65,Corsair CMD8GX4M2B3000C15 4GB,21,18.5,14.2,$291.02*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD8GX4M2B3200C16+4GB&id=10934,"6,030 KOps/Sec","31,875 MBytes/Sec","19,524 MBytes/Sec","16,325 MBytes/Sec",24 ns (lower is better),"40,547 MBytes/Sec"
66,Corsair CMD8GX4M2B3200C16 4GB,24,19.5,16.3,$79.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD8GX4M2B3466C18+4GB&id=9278,NA,"28,024 MBytes/Sec","18,993 MBytes/Sec","15,264 MBytes/Sec",20 ns (lower is better),NA
67,Corsair CMD8GX4M2B3600C18 4GB,22,18.1,14.4,$179.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD8GX4M2B3866C18+4GB&id=9446,NA,"30,216 MBytes/Sec","21,217 MBytes/Sec","17,681 MBytes/Sec",18 ns (lower is better),NA
68,Corsair CMD8GX4M2B3866C18 4GB,18,21.2,17.7,$257.22*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD8GX4M2B4000C19+4GB&id=11863,NA,"29,217 MBytes/Sec","21,439 MBytes/Sec","18,518 MBytes/Sec",18 ns (lower is better),NA
69,Corsair CMD8GX4M2B4000C19 4GB,18,21.4,18.5,$415.63*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG16GX4M1E3200C16+16GB&id=18469,"6,589 KOps/Sec","33,723 MBytes/Sec","19,898 MBytes/Sec","14,189 MBytes/Sec",47 ns (lower is better),"41,328 MBytes/Sec"
